,Name,AER,cgDIST,GT,Deadweight
11563,SEATRUCK PERFORMANCE,57.975,16.461819288104653,19722.0,5600.0
11564,SEATRUCK PRECISION,59.54821428571429,16.90852854680053,19722.0,5600.0
11565,BLUE CARRIER 1,61.53763440860215,21.88862541115276,13073.0,4650.0
11566,STENA HIBERNIA,54.49649122807018,23.863409387723745,13017.0,5700.0
11567,STENA SCOTIA,52.56410256410256,23.93792732580472,13017.0,5928.0
11568,CHODZIEZ,29.496519144704127,15.145538108004596,15666.0,8044.0
11569,UNDINE,32.6242214532872,19.88442719757044,11854.0,7225.0
11570,VILLE DE BORDEAUX,65.27499527499528,16.042827945001857,21528.0,5291.0
11571,SUPER-FAST LEVANTE,68.77361111111111,28.287346472436447,17505.0,7200.0
11572,WILHELMINE,40.469093191088795,12.271646051379639,21020.0,6374.0
11573,ADELINE,40.40163162849074,12.251189343482396,21020.0,6374.0
11574,CAPUCINE,33.445454545454545,13.507526618528944,16342.0,6600.0
11575,SEVERINE,36.45,14.720964386244034,16342.0,6600.0
11576,SC CONNECTOR,22.773945493610764,16.438658068729083,12251.0,8843.0
11577,ULYSSE,74.92571428571429,21.966828614508294,17907.0,5250.0
11578,ALEXO,21.055767761650113,13.383509760124308,20594.0,13090.0
11579,SALAMMBO,64.90192762935408,21.434634500474676,17907.0,5914.0
11580,MAESTRO UNIVERSE,34.65869565217391,20.738861788617886,15375.0,9200.0
11581,MAESTRO SUN,24.9,14.899512195121952,15375.0,9200.0
11582,ULUSOY-5,22.99723463092959,16.47264970287978,19689.0,14103.0
11583,SAFFET BEY,14.971290848514922,10.68123198300713,19773.0,14107.0
11584,FINLANDIA SEAWAYS,37.9671339921857,28.65481352992194,11530.0,8702.0
11585,BOTNIA SEAWAYS,33.60951505401057,25.366001734605376,11530.0,8702.0
11586,CELANDINE,34.211364843335105,13.428106891232751,23987.0,9415.0
11587,CELESTINE,32.14735971892115,12.969648961894439,23986.0,9677.0
11588,EUROCARGO NAPOLI,22.963636363636365,11.827503862902093,21357.0,11000.0
11589,ARK FUTURA,19.70888888888889,14.209345794392524,18725.0,13500.0
11590,MONT VENTOUX,21.330439988027535,15.434511884779901,18469.0,13364.0
11591,SPIRIT OF MONTOIR,33.38461538461539,13.830465264499681,21966.0,9100.0
11592,MOBILE EXPRESS,21.831470335339638,11.646254758956012,21801.0,11630.0
11593,EUROCARGO PATRASSO,43.233620689655176,18.899231233041906,26536.0,11600.0
11594,EUROCARGO TRIESTE,46.66399743754004,21.960355743141392,26536.0,12488.0
11595,CATHERINE,25.3506006006006,15.801862511114232,21369.0,13320.0
11596,JOLLY EXPRESS,30.48818181818182,16.48576906061053,20343.0,11000.0
11597,BELGIA SEAWAYS,21.70185437906398,12.87026898357534,21005.0,12457.0
11598,SOMERSET,26.417373220284755,15.72339919066889,21005.0,12502.0
11599,GOTHIA SEAWAYS,21.39417693169093,12.733634848845513,21005.0,12502.0
11600,EUROCARGO ISTANBUL,23.075001734545204,11.34969115790192,29303.0,14413.0
11601,EUROCARGO SALERNO,24.51189898008742,12.056444732621234,29303.0,14413.0
11602,EUROCARGO VALENCIA,23.49290322580645,12.380660954712363,29412.0,15500.0
11603,BRITANNIA SEAWAYS,40.253404274506266,18.135538130256368,24613.0,11089.0
11604,SELANDIA SEAWAYS,40.30390477049328,18.01919122686772,24803.0,11089.0
11605,SUECIA SEAWAYS,40.04238434484624,18.040466420184455,24613.0,11089.0
11606,GALLIPOLI SEAWAYS,37.63811454637608,13.998114985862394,26525.0,9865.0
11607,UND ATILIM,35.53066396350735,13.214326107445807,26525.0,9865.0
11608,UND BIRLIK,37.02686264571718,13.770782280867106,26525.0,9865.0
11609,EUROCARGO CATANIA,34.03710247349823,13.092527778721669,29429.0,11320.0
11610,GIUSEPPE LUCCHESI,36.409893992932865,14.005232933500968,29429.0,11320.0
11611,EUROCARGO SICILIA,35.705088632154514,13.95876430837126,29004.0,11339.0
11612,QEZBAN,31.872299144545373,12.460350296510827,29004.0,11339.0
11613,PAQIZE,32.3688155922039,12.471711577015869,29429.0,11339.0
11614,EUROCARGO SAVONA,35.7862461673237,13.880865812633797,29429.0,11415.0
11615,ASSOS SEAWAYS,32.422653832932276,12.982450103234687,29060.0,11636.0
